Material counts for Quest Type:
TotalQuests: 2000

Quest Type: FIND_STRUCTURE
- FORTRESS             count: 26           16,25 %    (15,84% expected)
- LILY_OF_THE_VALLEY   count: 3             4,69 %    (7,25 % expected)
- CACTUS_FLOWER        count: 1             1,56 %    (4,15 % expected)
- OPEN_EYEBLOSSOM      count: 2             3,13 %    (2,07 % expected)
- SUNFLOWER            count: 1             1,56 %    (2,07 % expected)
- AZURE_BLUET          count: 5             7,81 %    (7,25 % expected)
- ALLIUM               count: 3             4,69 %    (5,18 % expected)
- POPPY                count: 9            14,06 %    (10,36% expected)
- OXEYE_DAISY          count: 3             4,69 %    (7,25 % expected)
- CLOSED_EYEBLOSSOM    count: 1             1,56 %    (2,07 % expected)
- BLUE_ORCHID          count: 4             6,25 %    (5,18 % expected)
- CORNFLOWER           count: 4             6,25 %    (7,25 % expected)
- DANDELION            count: 7            10,94 %    (10,36% expected)
- PINK_TULIP           count: 5             7,81 %    (7,25 % expected)
- ORANGE_TULIP         count: 5             7,81 %    (7,25 % expected)
- WITHER_ROSE          count: 1             1,56 %    (0,52 % expected)
- RED_TULIP            count: 6             9,38 %    (7,25 % expected)
- WHITE_TULIP          count: 4             6,25 %    (7,25 % expected)

Quest Type: ENCHANT_ITEM
- DIAMOND_LEGGINGS     count: 1             1,56 %    (2,44 % expected)
- SHIELD               count: 4             6,25 %    (2,44 % expected)
- DIAMOND_HOE          count: 2             3,13 %    (1,63 % expected)
- FISHING_ROD          count: 4             6,25 %    (4,06 % expected)
- DIAMOND_SWORD        count: 5             7,81 %    (9,75 % expected)
- DIAMOND_AXE          count: 7            10,94 %    (6,50 % expected)
- DIAMOND_CHESTPLATE   count: 1             1,56 %    (2,44 % expected)
- DIAMOND_HELMET       count: 1             1,56 %    (2,44 % expected)
- TRIDENT              count: 0             0,00 %    (0,04 % expected)
- DIAMOND_PICKAXE      count: 5             7,81 %    (8,13 % expected)
- DIAMOND_BOOTS        count: 1             1,56 %    (2,44 % expected)
- DIAMOND_SHOVEL       count: 2             3,13 %    (6,50 % expected)
- CROSSBOW             count: 2             3,13 %    (4,06 % expected)
- BOOK                 count: 26           40,63 %    (40,63% expected)
- BOW                  count: 3             4,69 %    (6,50 % expected)

Quest Type: INCREASE_STAT
- RECORD_PLAYED        count: 3             2,86 %    (1,15 % expected)
- STRIDER_ONE_CM       count: 7             6,67 %    (2,87 % expected)
- WALK_ONE_CM          count: 30           28,57 %    (34,48% expected)
- SWIM_ONE_CM          count: 13           12,38 %    (11,49% expected)
- PIG_ONE_CM           count: 6             5,71 %    (5,75 % expected)
- HORSE_ONE_CM         count: 14           13,33 %    (11,49% expected)
- BOAT_ONE_CM          count: 16           15,24 %    (17,24% expected)
- RAID_WIN             count: 1             0,95 %    (1,15 % expected)
- CAKE_SLICES_EATEN    count: 5             4,76 %    (2,87 % expected)
- MINECART_ONE_CM      count: 4             3,81 %    (5,75 % expected)
- BELL_RING            count: 3             2,86 %    (2,87 % expected)
- FLOWER_POTTED        count: 3             2,86 %    (2,87 % expected)

Quest Type: FISH_ITEM
- ANY_TREASURE         count: 1             4,76 %    (3,64 % expected)
- COD                  count: 11           52,38 %    (25,45% expected)
- PUFFERFISH           count: 1             4,76 %    (7,27 % expected)
- TROPICAL_FISH        count: 0             0,00 %    (1,82 % expected)
- ANY_ITEM             count: 2             9,52 %    (7,27 % expected)
- ANY_FISH             count: 4            19,05 %    (36,36% expected)
- SALMON               count: 2             9,52 %    (18,18% expected)

Quest Type: MINE_BLOCK
- REDSTONE_ORE         count: 34            5,88 %    (6,51 % expected)
- COPPER_ORE           count: 42            7,27 %    (6,51 % expected)
- LAPIS_ORE            count: 51            8,82 %    (5,42 % expected)
- ANCIENT_DEBRIS       count: 11            1,90 %    (1,74 % expected)
- GOLD_ORE             count: 91           15,74 %    (15,18% expected)
- IRON_ORE             count: 124          21,45 %    (21,69% expected)
- COAL_ORE             count: 119          20,59 %    (21,69% expected)
- EMERALD_ORE          count: 9             1,56 %    (1,74 % expected)
- NETHER_QUARTZ_ORE    count: 23            3,98 %    (4,34 % expected)
- NETHER_GOLD_ORE      count: 28            4,84 %    (4,34 % expected)
- DIAMOND_ORE          count: 46            7,96 %    (10,85% expected)

Quest Type: KILL_ENTITY
- MAGMA_CUBE           count: 0             0,00 %    (1,18 % expected)
- BOGGED               count: 3             2,42 %    (2,35 % expected)
- PILLAGER             count: 1             0,81 %    (0,78 % expected)
- SKELETON             count: 12            9,68 %    (7,84 % expected)
- ZOGLIN               count: 0             0,00 %    (1,57 % expected)
- ZOMBIE               count: 16           12,90 %    (11,76% expected)
- BREEZE               count: 3             2,42 %    (2,35 % expected)
- BLAZE                count: 7             5,65 %    (3,92 % expected)
- SQUID                count: 0             0,00 %    (1,57 % expected)
- WITHER_SKELETON      count: 2             1,61 %    (2,35 % expected)
- ZOMBIE_VILLAGER      count: 1             0,81 %    (0,39 % expected)
- COW                  count: 10            8,06 %    (7,84 % expected)
- GLOW_SQUID           count: 2             1,61 %    (0,78 % expected)
- PIGLIN               count: 2             1,61 %    (1,57 % expected)
- DROWNED              count: 10            8,06 %    (3,92 % expected)
- GHAST                count: 4             3,23 %    (2,35 % expected)
- SPIDER               count: 5             4,03 %    (6,27 % expected)
- CAVE_SPIDER          count: 3             2,42 %    (1,57 % expected)
- CREEPER              count: 7             5,65 %    (5,88 % expected)
- WITCH                count: 4             3,23 %    (2,35 % expected)
- SHEEP                count: 7             5,65 %    (7,84 % expected)
- CHICKEN              count: 6             4,84 %    (7,84 % expected)
- PIG                  count: 10            8,06 %    (7,84 % expected)
- PHANTOM              count: 2             1,61 %    (1,57 % expected)
- ENDERMAN             count: 7             5,65 %    (6,27 % expected)

Quest Type: CHOP_WOOD
- CHERRY_LOG           count: 2             0,71 %    (1,27 % expected)
- MANGROVE_LOG         count: 3             1,07 %    (1,27 % expected)
- SPRUCE_LOG           count: 24            8,54 %    (6,33 % expected)
- OAK_LOG              count: 34           12,10 %    (10,13% expected)
- ACACIA_LOG           count: 13            4,63 %    (5,06 % expected)
- DARK_OAK_LOG         count: 7             2,49 %    (2,53 % expected)
- BIRCH_LOG            count: 16            5,69 %    (7,59 % expected)
- LOG                  count: 176          62,63 %    (63,29% expected)
- JUNGLE_LOG           count: 6             2,14 %    (2,53 % expected)

Quest Type: HARVEST_BLOCK
- NETHER_WART          count: 7             1,81 %    (2,65 % expected)
- POTATO               count: 37            9,59 %    (10,60% expected)
- COCOA_BEANS          count: 16            4,15 %    (2,65 % expected)
- SWEET_BERRIES        count: 20            5,18 %    (3,97 % expected)
- RED_MUSHROOM         count: 13            3,37 %    (3,97 % expected)
- MELON_SLICE          count: 21            5,44 %    (3,97 % expected)
- BROWN_MUSHROOM       count: 10            2,59 %    (3,97 % expected)
- SEA_PICKLE           count: 0             0,00 %    (0,66 % expected)
- PUMPKIN              count: 24            6,22 %    (6,62 % expected)
- CACTUS               count: 25            6,48 %    (6,62 % expected)
- WHEAT                count: 57           14,77 %    (15,89% expected)
- CHORUS_FLOWER        count: 24            6,22 %    (2,65 % expected)
- SUGAR_CANE           count: 53           13,73 %    (13,25% expected)
- CARROT               count: 39           10,10 %    (10,60% expected)
- BEETROOT             count: 23            5,96 %    (6,62 % expected)
- BAMBOO               count: 5             1,30 %    (1,32 % expected)
- KELP                 count: 12            3,11 %    (3,97 % expected)



QUESTS:


Harvest 40 Brown Mushrooms (⭐⭐)  
 + 48 Cooked Porkchop

Ride 2km on a Horse (⭐⭐⭐⭐)  
 + 1 Enchanted Book: Sweeping Edge III
 + 48 Cooked Beef
 + 1 Music Disc Wait

Harvest 6 Chorus Flowers (⭐⭐⭐⭐)  
 + 96 Iron Ingot
 + 36 Golden Carrot

Harvest 16 Wheat (⭐)  
 + 1 Iron Pickaxe

Trade with a Librarian 4 times (⭐⭐)  
 + 48 Cooked Porkchop

Mine 96 Coal Ore (⭐)  
 + 1 Splash Potion: Regeneration II

Trade with a Weaponsmith 14 times (⭐⭐⭐)  
 + 96 Arrow

Run 2,5km (⭐⭐)  
 + 1 Diamond Hoe
 + 1 Iron Helmet

Mine 96 Iron Ore (⭐⭐)  
 + 36 Cooked Beef

Enchant a Fishing Rod with Unbreaking I+ (⭐)  
 + 4 Gold Ingot

Kill 110 Drowned (⭐⭐⭐⭐)  
 + 128 Arrow
 + 96 Iron Ingot

Mine 8 Diamond Ore (⭐⭐⭐)  
 + 1 Enchanted Book: Respiration III

Find an Ocean Ruin (⭐⭐⭐)  
 + 76 Copper Ingot

Mine 208 Coal Ore (⭐⭐)  
 + 2 Diamond

Chop 128 Logs (⭐)  
 + 8 Flint
 + 1 Iron Axe

Mine 96 Iron Ore (⭐⭐)  
 + 4 Slime Ball

Ride 1,1km on a Strider (⭐⭐⭐⭐⭐)  
 + 1 Netherite Axe: Unbreaking III
 + 3 Echo Shard
 + 6 Splash Potion: Regeneration

Find a Pillager Outpost (⭐⭐⭐⭐)  
 + 12 Blaze Rod
 + 6 Splash Potion: Swiftness +

Chop 96 Spruce Logs (⭐⭐)  
 + 1 Enchanted Book: Piercing IV

Mine 144 Coal Ore (⭐⭐)  
 + 32 Coal
 + 6 Honey Bottle

Mine 160 Coal Ore (⭐⭐)  
 + 24 Iron Ingot
 + 1 Crossbow

Mine 32 Copper Ore (⭐)  
 + 12 Iron Ingot

Kill 10 Cows (⭐)  
 + 8 Coal
 + 1 Iron Axe: Unbreaking III

Mine 16 Copper Ore (⭐)  
 + 1 Bow

Pick 4 Open Eyeblossoms (⭐⭐⭐)  
 + 1 Chainmail Leggings: Blast Protection III

Trade with a Fletcher 2 times (⭐)  
 + 1 Iron Leggings
 + 1 Chainmail Helmet
 + 1 Iron Spear

Mine 16 Redstone Ore (⭐⭐)  
 + 1 Iron Pickaxe: Efficiency II

Mine 32 Iron Ore (⭐)  
 + 16 Cooked Mutton

Harvest 32 Bamboo (⭐⭐)  
 + 1 Iron Spear: Smite IV

Mine 112 Coal Ore (⭐⭐)  
 + 2 Potion: Regeneration +

Kill 40 Spiders (⭐⭐⭐)  
 + 3 Diamond

Trade with a Cleric 14 times (⭐⭐⭐)  
 + 1 Enchanted Book: Looting II

Kill 12 Blazes (⭐⭐⭐⭐)  
 + 14 Diamond

Mine 48 Coal Ore (⭐)  
 + 1 Crossbow
 + 1 Iron Axe: Unbreaking III

Find a Village (⭐⭐⭐)  
 + 76 Copper Ingot

Ride 4km on a Horse (⭐⭐⭐⭐)  
 + 1 Enchanted Book: Depth Strider III
 + 24 Firework Rocket

Chop 32 Logs (⭐)  
 + 4 Cooked Porkchop
 + 1 Iron Hoe

Find a Village (⭐⭐⭐)  
 + 1 Diamond Pickaxe
 + 1 Bundle

Mine 20 Diamond Ore (⭐⭐⭐⭐)  
 + 1 Netherite Ingot
 + 1 Eye Armor Trim Smithing Template

Chop 32 Logs (⭐)  
 + 8 Coal
 + 1 Iron Hoe

Mine 80 Gold Ore (⭐⭐)  
 + 6 Nautilus Shell
 + 1 Diamond Spear

Kill 110 Creepers (⭐⭐⭐⭐)  
 + 24 Ender Pearl

Mine 128 Iron Ore (⭐⭐)  
 + 48 Iron Ingot

Break 4 Amethyst Clusters (⭐⭐)  
 + 3 Potion: Night Vision +
 + 6 Potion: Swiftness
 + 1 Fishing Rod
 + 1 Iron Axe

Find a Village (⭐⭐⭐)  
 + 48 Cooked Porkchop

Find a Village (⭐⭐⭐)  
 + 36 Gold Ingot

Kill 20 Cows (⭐⭐)  
 + 2 Splash Potion: Regeneration +

Mine 48 Copper Ore (⭐)  
 + 40 Coal

Break 40 Glowstones (⭐⭐⭐)  
 + 1 Crossbow: Quick Charge III

Ride 2km on a Horse (⭐⭐⭐⭐)  
 + 9 Diamond

Level up 20 times (⭐⭐⭐)  
 + 32 Golden Carrot
 + 3 Potion: Night Vision

Kill 80 Zombies (⭐⭐⭐)  
 + 48 Flint

Mine 72 Gold Ore (⭐⭐)  
 + 4 Golden Apple

Mine 144 Iron Ore (⭐⭐)  
 + 1 Enchanted Book: Protection II
 + 1 Iron Leggings

Harvest 32 Potatoes (⭐)  
 + 1 Iron Leggings

Chop 64 Logs (⭐)  
 + 8 Flint

Mine 8 Lapis Ore (⭐⭐)  
 + 20 Gold Ingot

Mine 128 Iron Ore (⭐⭐)  
 + 1 Iron Leggings: Thorns II

Kill 4 Ghasts (⭐⭐⭐⭐)  
 + 192 Arrow

Level up 30 times (⭐⭐⭐)  
 + 1 Enchanted Book: Unbreaking III

Trade with a Shepherd 4 times (⭐⭐)  
 + 1 Jukebox
 + 1 Iron Leggings

Mine 24 Lapis Ore (⭐⭐⭐)  
 + 6 Potion: Regeneration II
 + 8 Ender Pearl

Kill 8 Breezes (⭐⭐⭐⭐)  
 + 1 Netherite Shovel: Silk Touch

Trade with a Villager 6 times (⭐⭐)  
 + 8 Flint
 + 1 Iron Helmet
 + 1 Bow

Kill 1 Zombie Villager (⭐⭐)  
 + 1 Crossbow: Quick Charge II

Harvest 80 Sugar Cane (⭐⭐)  
 + 44 Iron Ingot

Pick 6 Azure Bluets (⭐)  
 + 1 Iron Leggings

Harvest 64 Melon Slices (⭐⭐)  
 + 8 Ender Pearl

Chop 192 Logs (⭐⭐)  
 + 4 Slime Ball

Kill 3 Glow Squids (⭐⭐⭐)  
 + 48 Flint

Harvest 16 Potatoes (⭐)  
 + 4 Copper Ingot

Find a Desert Pyramid (⭐⭐⭐)  
 + 5 Sea Lantern

Harvest 96 Beetroots (⭐⭐)  
 + 4 Ender Pearl
 + 1 Fishing Rod

Mine 48 Copper Ore (⭐)  
 + 1 Diamond

Drive 1km in a Minecart (⭐⭐⭐⭐)  
 + 1 Enchanted Book: Smite V
 + 1 Enchanted Book: Power V

Mine 32 Nether Gold Ore (⭐⭐⭐)  
 + 1 Diamond Hoe: Efficiency II

Mine 144 Iron Ore (⭐⭐)  
 + 4 Breeze Rod
 + 1 Music Disc Blocks

Harvest 88 Melon Slices (⭐⭐⭐)  
 + 1 Iron Leggings: Protection II
 + 1 Crossbow

Find an Ocean Ruin (⭐⭐⭐)  
 + 6 Potion: Regeneration +

Harvest 80 Sugar Cane (⭐⭐)  
 + 44 Iron Ingot

Mine 80 Iron Ore (⭐⭐)  
 + 1 Bow: Power IV

Pick 1 Blue Orchid (⭐)  
 + 1 Iron Axe
 + 1 Iron Pickaxe

Find a Pillager Outpost (⭐⭐⭐⭐)  
 + 1 Netherite Ingot

Mine 32 Lapis Ore (⭐⭐⭐)  
 + 7 Diamond

Mine 80 Iron Ore (⭐⭐)  
 + 1 Iron Pickaxe: Efficiency III

Harvest 96 Wheat (⭐)  
 + 3 Splash Potion: Healing
 + 1 Iron Pickaxe

Mine 48 Gold Ore (⭐⭐)  
 + 1 Iron Pickaxe: Efficiency IV

Mine 20 Diamond Ore (⭐⭐⭐⭐)  
 + 192 Arrow

Mine 48 Coal Ore (⭐)  
 + 1 Golden Apple

Enchant a Diamond Helmet (⭐⭐)  
 + 56 Coal

Fish 4 Cod (⭐)  
 + 8 Cooked Porkchop

Mine 96 Iron Ore (⭐⭐)  
 + 40 Cooked Chicken
 + 1 Crossbow

Harvest 40 Pumpkins (⭐⭐)  
 + 4 Breeze Rod

Enchant 6 Books (⭐⭐)  
 + 1 Chainmail Helmet: Fire Protection I
 + 1 Iron Pickaxe

Kill 11 Ghasts (⭐⭐⭐⭐⭐)  
 + 192 Arrow
 + 48 Quartz

Mine 4 Diamond Ore (⭐⭐)  
 + 1 Enchanted Book: Fortune I
 + 6 Splash Potion: Swiftness +

Harvest 48 Cacti (⭐⭐)  
 + 4 Slime Ball

Chop 32 Birch Logs (⭐)  
 + 2 Glow Ink Sac

Trade with a Villager 6 times (⭐⭐)  
 + 28 Cooked Mutton

Travel 5km with a Boat (⭐⭐⭐)  
 + 1 Enchanted Book: Feather Falling IV

Harvest 16 Beetroots (⭐)  
 + 8 Coal

Run 17,5km (⭐⭐⭐⭐)  
 + 1 Enchanted Book: Mending
 + 48 Cooked Porkchop

Pick 7 Oxeye Daisys (⭐)  
 + 8 Iron Ingot

Pick 3 Red Tulips (⭐)  
 + 4 Copper Ingot
 + 1 Iron Spear

Mine 64 Iron Ore (⭐⭐)  
 + 12 Gold Ingot

Trade with a Toolsmith 14 times (⭐⭐⭐)  
 + 1 Diamond Pickaxe: Unbreaking II

Chop 64 Jungle Logs (⭐⭐)  
 + 1 Diamond Shovel
 + 1 Iron Axe

Chop 64 Birch Logs (⭐⭐)  
 + 1 Iron Spear: Smite III
 + 1 Iron Hoe

Mine 48 Gold Ore (⭐⭐)  
 + 48 Cooked Chicken

Mine 48 Iron Ore (⭐)  
 + 1 Amethyst Shard

Enchant a Diamond Sword with Looting I+ (⭐⭐)  
 + 88 Coal

Harvest 56 Nether Warts (⭐⭐⭐⭐)  
 + 2 Enchanted Golden Apple

Trade with a Toolsmith 10 times (⭐⭐⭐)  
 + 76 Iron Ingot

Pot a Plant (⭐⭐)  
 + 20 Gold Ingot
 + 1 Iron Pickaxe

Find a Pillager Outpost (⭐⭐⭐⭐)  
 + 1 Diamond Pickaxe: Efficiency IV

Level up 45 times (⭐⭐⭐⭐)  
 + 1 Diamond Spear: Unbreaking III
 + 1 Enchanted Book: Protection III

Harvest 64 Potatoes (⭐)  
 + 1 Diamond
 + 1 Iron Pickaxe

Find a Ruined Portal (⭐⭐⭐)  
 + 1 Enchanted Book: Silk Touch

Kill 1 Pillager (⭐⭐⭐)  
 + 32 Arrow
 + 6 Potion: Strength
 + 6 Honey Bottle

Find an Igloo (⭐⭐⭐⭐)  
 + 1 Diamond Pickaxe: Fortune I

Mine 64 Coal Ore (⭐)  
 + 6 Honey Bottle

Mine 16 Copper Ore (⭐)  
 + 8 Coal
 + 1 Iron Shovel

Mine 112 Iron Ore (⭐⭐)  
 + 1 Enchanted Book: Piercing III

Find a Shipwreck (⭐⭐⭐)  
 + 1 Enchanted Book: Respiration III

Harvest 48 Beetroots (⭐⭐)  
 + 40 Coal

Mine 96 Iron Ore (⭐⭐)  
 + 1 Enchanted Book: Lunge I

Trade with a Fletcher 8 times (⭐⭐)  
 + 1 Chainmail Helmet: Thorns II

Kill 20 Pigs (⭐⭐)  
 + 8 Flint
 + 1 Iron Axe

Travel 7km with a Boat (⭐⭐⭐)  
 + 1 Enchanted Book: Projectile Protection IV

Harvest 64 Kelp (⭐)  
 + 1 Iron Helmet
 + 1 Chainmail Leggings

Harvest 48 Sugar Cane (⭐⭐)  
 + 1 Enchanted Book: Smite IV
 + 1 Iron Helmet

Mine 64 Redstone Ore (⭐⭐⭐)  
 + 1 Enchanted Book: Feather Falling IV

Harvest 48 Cacti (⭐⭐)  
 + 32 Copper Ingot

Harvest 48 Brown Mushrooms (⭐⭐)  
 + 6 Potion: Fire Resistance

Harvest 16 Bamboo (⭐⭐)  
 + 1 Chainmail Leggings: Protection I

Level up 15 times (⭐⭐)  
 + 6 Potion: Strength +

Break 80 Glowstones (⭐⭐⭐⭐)  
 + 8 Diamond

Kill 10 Pigs (⭐)  
 + 8 Iron Ingot
 + 1 Iron Pickaxe

Mine 32 Nether Gold Ore (⭐⭐⭐)  
 + 1 Enchanted Book: Aqua Affinity
 + 1 Diamond Spear

Mine 16 Copper Ore (⭐)  
 + 8 Copper Ingot

Harvest 28 Pumpkins (⭐⭐)  
 + 88 Coal

Enchant 3 Books (⭐)  
 + 8 Gold Ingot

Run 17,5km (⭐⭐⭐⭐)  
 + 1 Netherite Helmet

Mine 80 Coal Ore (⭐)  
 + 20 Cooked Mutton

Mine 96 Iron Ore (⭐⭐)  
 + 4 Potion: Regeneration II

Chop 64 Logs (⭐)  
 + 8 Copper Ingot

Find a Jungle Pyramid (⭐⭐⭐⭐⭐)  
 + 1 Heavy Core
 + 1 Jukebox

Chop 96 Logs (⭐)  
 + 4 Golden Carrot

Trade with a Armorer 2 times (⭐⭐)  
 + 16 Copper Ingot
 + 3 Potion: Night Vision +

Harvest 2 Chorus Flowers (⭐⭐⭐)  
 + 1 Diamond Helmet

Swim 1,6km (⭐⭐⭐)  
 + 1 Enchanted Book: Efficiency V

Kill 50 Chickens (⭐⭐)  
 + 4 Blaze Rod

Harvest 96 Carrots (⭐⭐)  
 + 3 Potion: Regeneration +

Chop 96 Spruce Logs (⭐⭐)  
 + 28 Copper Ingot
 + 1 Iron Pickaxe

Trade with a Villager 14 times (⭐⭐)  
 + 3 Ghast Tear
 + 1 Iron Pickaxe

Mine 32 Iron Ore (⭐)  
 + 8 Copper Ingot
 + 1 Iron Axe

Kill 24 Phantoms (⭐⭐⭐)  
 + 1 Enchanted Book: Looting III

Mine 28 Diamond Ore (⭐⭐⭐⭐)  
 + 24 Slime Ball
 + 4 Ancient Debris

Swim 300m (⭐)  
 + 8 Iron Ingot
 + 1 Crossbow

Chop 32 Spruce Logs (⭐)  
 + 12 Cooked Beef

Harvest 96 Carrots (⭐⭐)  
 + 2 Golden Apple

Ride 600m on a Strider (⭐⭐⭐⭐⭐)  
 + 1 Enchanted Book: Sharpness V
 + 96 Copper Ingot
 + 1 Enchanted Book: Unbreaking III
 + 1 Goat Horn

Mine 16 Redstone Ore (⭐⭐)  
 + 1 Chainmail Helmet: Respiration II

Harvest 48 Bamboo (⭐⭐⭐)  
 + 1 Enchanted Book: Sharpness IV

Mine 8 Lapis Ore (⭐⭐)  
 + 1 Splash Potion: Luck

Mine 240 Coal Ore (⭐⭐)  
 + 32 Arrow

Kill 20 Chickens (⭐⭐)  
 + 8 Flint

Trade with a Villager 2 times (⭐)  
 + 8 Coal
 + 1 Iron Axe
 + 1 Iron Spear

Mine 16 Nether Quartz Ore (⭐⭐)  
 + 32 Arrow

Enchant a Diamond Axe (⭐)  
 + 2 Splash Potion: Slow Falling +

Harvest 96 Sweet Berries (⭐⭐)  
 + 64 Coal

Mine 96 Nether Quartz Ore (⭐⭐⭐⭐)  
 + 1 Diamond Pickaxe: Efficiency IV

Chop 64 Oak Logs (⭐⭐)  
 + 1 Diamond Spear

Mine 160 Coal Ore (⭐⭐)  
 + 1 Enchanted Book: Sweeping Edge III

Trade with a Fisherman 6 times (⭐⭐)  
 + 4 Blaze Rod

Mine 128 Iron Ore (⭐⭐)  
 + 32 Copper Ingot
 + 1 Goat Horn

Find a Ruined Portal (⭐⭐⭐)  
 + 48 Cooked Beef

Trade with a Cartographer 6 times (⭐⭐⭐)  
 + 1 Chainmail Helmet: Respiration II

Harvest 4 Pumpkins (⭐)  
 + 1 Splash Potion: Leaping II

Kill 40 Creepers (⭐⭐⭐)  
 + 1 Echo Shard

Mine 72 Gold Ore (⭐⭐)  
 + 8 Slime Ball

Fish 28 Cod (⭐⭐)  
 + 1 Iron Leggings: Fire Protection I

Harvest 2 Chorus Flowers (⭐⭐⭐)  
 + 20 Ender Pearl

Chop 64 Oak Logs (⭐⭐)  
 + 1 Amethyst Shard

Mine 96 Coal Ore (⭐)  
 + 1 Diamond

Harvest 12 Pumpkins (⭐)  
 + 1 Iron Hoe: Efficiency I

Find a Nether Fortress (⭐⭐⭐⭐)  
 + 80 Iron Ingot
 + 6 Splash Potion: Water Breathing
 + 6 Splash Potion: Swiftness

Harvest 80 Kelp (⭐)  
 + 3 Splash Potion: Swiftness +

Trade with a Toolsmith 6 times (⭐⭐)  
 + 2 Sea Lantern

Enchant 8 Books (⭐⭐)  
 + 88 Coal

Harvest 32 Wheat (⭐)  
 + 1 Crossbow

Pick 3 Pink Tulips (⭐)  
 + 4 Copper Ingot

Harvest 96 Wheat (⭐)  
 + 32 Coal

Chop 32 Logs (⭐)  
 + 8 Coal
 + 1 Iron Hoe

Mine 56 Gold Ore (⭐⭐)  
 + 32 Arrow

Mine 32 Copper Ore (⭐)  
 + 4 Golden Carrot
 + 1 Iron Hoe

Chop 224 Logs (⭐⭐)  
 + 1 Sea Lantern

Mine 72 Gold Ore (⭐⭐)  
 + 96 Coal

Harvest 112 Potatoes (⭐⭐)  
 + 32 Cooked Porkchop

Find a Swamp Hut (⭐⭐⭐⭐⭐)  
 + 1 Enchanted Book: Sharpness V
 + 1 Enchanted Book: Sweeping Edge III

Harvest 64 Wheat (⭐)  
 + 1 Crossbow
 + 1 Iron Pickaxe

Mine 112 Nether Quartz Ore (⭐⭐⭐⭐)  
 + 8 Golden Apple
 + 1 Diamond Helmet

Harvest 10 Chorus Flowers (⭐⭐⭐⭐⭐)  
 + 16 Blaze Rod
 + 96 Copper Ingot

Harvest 10 Chorus Flowers (⭐⭐⭐⭐⭐)  
 + 24 Blaze Rod

Mine 96 Iron Ore (⭐⭐)  
 + 36 Iron Ingot

Trade with a Farmer 12 times (⭐⭐)  
 + 36 Cooked Mutton
 + 1 Bundle

Mine 32 Iron Ore (⭐)  
 + 12 Iron Ingot

Pick 1 Orange Tulip (⭐)  
 + 1 Enchanted Book: Lure I

Harvest 112 Kelp (⭐)  
 + 20 Cooked Porkchop

Enchant 4 Books (⭐⭐)  
 + 20 Cooked Porkchop

Find a Ruined Portal (⭐⭐⭐)  
 + 6 Golden Apple

Mine 64 Redstone Ore (⭐⭐⭐)  
 + 1 Enchanted Book: Sharpness IV

Kill 40 Pigs (⭐⭐)  
 + 16 Quartz
 + 6 Chorus Fruit

Chop 32 Logs (⭐)  
 + 1 Iron Pickaxe

Find a Village (⭐⭐⭐)  
