Material counts for Quest Type:
TotalQuests: 2000

Quest Type: FISH_ITEM
- COD                  count: 21           30,00 %    (25,45% expected)
Harvest 80 Sugar Cane (⭐⭐)
 + 1 Iron Sword: Bane Of Arthropods II
 + 1 Iron Axe
 + 1 Iron Pickaxe

Mine 128 Coal Ore (⭐⭐)
 + 6 Potion: Jump Boost

Enchant a Fishing Rod with Lure II+ (⭐⭐)
 + 6 Potion: Strength II

Level up 10 times (⭐⭐)
 + 1 Iron Hoe: Efficiency III

Chop 64 Acacia Logs (⭐⭐)
 + 1 Sea Lantern

Run 7,5km (⭐⭐⭐⭐)
 + 1 Diamond Pickaxe: Unbreaking III

Kill 10 Pigs (⭐)
 + 4 Gold Ingot

Mine 16 Redstone Ore (⭐⭐)
 + 4 Slime Ball

Mine 56 Gold Ore (⭐⭐)
 + 1 Enchanted Book: Efficiency II

Harvest 80 Sugar Cane (⭐⭐)
 + 2 Diamond

Mine 32 Diamond Ore (⭐⭐⭐⭐)
 + 192 Arrow
 + 96 Coal

Chop 32 Acacia Logs (⭐)
 + 1 Emerald
 + 1 Iron Axe

Mine 112 Iron Ore (⭐⭐)
 + 1 Iron Shovel: Fortune II
 + 1 Iron Pickaxe

Break 4 Amethyst Clusters (⭐⭐)
 + 4 Blaze Rod

Mine 224 Coal Ore (⭐⭐)
 + 80 Coal

Harvest 36 Pumpkins (⭐⭐)
 + 28 Gold Ingot

Fish 28 Cod (⭐⭐)
 + 44 Iron Ingot

Ride 8km on a Horse (⭐⭐⭐⭐⭐)
 + 1 Netherite Sword: Sweeping II
 + 6 Potion: Speed II

Kill 22 Zoglins (⭐⭐⭐⭐)
 + 128 Arrow
 + 1 Enchanted Book: Power V

Mine 24 Gold Ore (⭐⭐)
 + 2 Saddle
 + 1 Bow
 + 1 Iron Pickaxe
 + 1 Iron Sword

Harvest 64 Wheat (⭐)
 + 1 Bow
 + 1 Chainmail Chestplate

Trade with a Weaponsmith 6 times (⭐⭐⭐)
 + 48 Cooked Porkchop

Kill 50 Zombies (⭐⭐⭐)
 + 32 Gold Ingot

Level up 20 times (⭐⭐⭐)
 + 96 Coal

Mine 16 Diamond Ore (⭐⭐⭐⭐)
 + 1 Diamond Boots: Thorns III

Trade with a Armorer 4 times (⭐⭐)
 + 3 Sea Lantern

Level up 30 times (⭐⭐⭐)
 + 1 Diamond Shovel: Silk Touch
 + 6 Potion: Jump Boost

Harvest 32 Sugar Cane (⭐)
 + 6 Honey Bottle
 + 1 Iron Pickaxe

Kill 40 Chickens (⭐⭐)
 + 1 Chainmail Helmet: Thorns II

Harvest 32 Carrots (⭐)
 + 1 Iron Leggings

Trade with a Cartographer 4 times (⭐⭐⭐)
 + 1 Bow: Unbreaking II
 + 1 Compass

Chop 96 Logs (⭐)
 + 2 Splash Potion: Night Vision +

Enchant a Diamond Sword with Knockback I+ (⭐⭐)
 + 44 Cooked Porkchop

Kill 28 Endermen (⭐⭐⭐⭐⭐)
 + 2 Heart Of The Sea
 + 6 Ancient Debris
 + 1 Bow: Punch II
 + 1 Music Disc Pigstep

Catch 12 fish (⭐)
 + 1 Iron Shovel: Efficiency II

Chop 96 Logs (⭐)
 + 24 Coal

Harvest 32 Nether Warts (⭐⭐⭐)
 + 3 Diamond
 + 96 Coal

Level up 10 times (⭐⭐)
 + 32 Arrow

Enchant a Diamond Axe with Unbreaking I+ (⭐⭐)
 + 1 Diamond Shovel
 + 1 Chainmail Leggings

Kill 50 Chickens (⭐⭐)
 + 1 Diamond Pickaxe

Travel 5km with a Boat (⭐⭐⭐)
 + 1 Iron Boots: Unbreaking III

Kill 28 Blazes (⭐⭐⭐⭐⭐)
 + 1 Netherite Sword
 + 1 Enchanted Book: Projectile Protection IV
 + 1 Iron Axe: Efficiency III

Enchant 7 Books (⭐⭐)
 + 1 Enchanted Book: Thorns II

Harvest 16 Red Mushrooms (⭐⭐)
 + 1 Diamond

Kill 3 Pillagers (⭐⭐⭐)
 + 1 Chainmail Helmet: Mending

Chop 96 Acacia Logs (⭐⭐)
 + 1 Enchanted Book: Power I

Harvest 28 Pumpkins (⭐⭐)
 + 1 Chainmail Chestplate: Protection III

Harvest 112 Potatoes (⭐⭐)
 + 16 Quartz

Kill 50 Zombies (⭐⭐⭐)
 + 3 Diamond

Enchant a Diamond Chestplate with Projectile Protection I+ (⭐⭐⭐)
 + 1 Diamond Pickaxe

Trade with a Toolsmith 4 times (⭐⭐)
 + 1 Enchanted Book: Protection II

Enchant a Diamond Sword (⭐)
 + 3 Potion: Night Vision

Harvest 40 Melon Slices (⭐⭐)
 + 1 Enchanted Book: Feather Falling III

Mine 4 Ancient Debris (⭐⭐⭐⭐)
 + 1 Enchanted Book: Efficiency IV
 + 48 Quartz
 + 6 Potion: Speed +

Ride 2km on a Horse (⭐⭐⭐⭐)
 + 1 Enchanted Book: Looting III

Harvest 96 Potatoes (⭐⭐)
 + 6 Potion: Slow Falling

Harvest 16 Sugar Cane (⭐)
 + 1 Chainmail Chestplate

Enchant a Diamond Axe with Efficiency II+ (⭐⭐)
 + 6 Emerald

Harvest 64 Wheat (⭐)
 + 4 Golden Carrot

Find a Shipwreck (⭐⭐⭐)
 + 1 Enchanted Golden Apple
 + 24 Golden Carrot

Mine 80 Coal Ore (⭐)
 + 1 Iron Leggings
 + 1 Iron Pickaxe
 + 1 Iron Shovel

Enchant a Diamond Pickaxe (⭐)
 + 24 Coal
 + 1 Fishing Rod

Harvest 96 Carrots (⭐⭐)
 + 1 Enchanted Book: Protection III
 + 1 Iron Sword

Harvest 80 Carrots (⭐⭐)
 + 1 Diamond

Mine 16 Gold Ore (⭐)
 + 2 Splash Potion: Fire Resistance

Trade with a Librarian 8 times (⭐⭐⭐⭐)
 + 1 Diamond Chestplate

Level up 35 times (⭐⭐⭐)
 + 6 Diamond

Mine 56 Gold Ore (⭐⭐)
 + 1 Diamond Shovel: Efficiency I

Mine 4 Ancient Debris (⭐⭐⭐⭐)
 + 11 Diamond

Kill 10 Cows (⭐)
 + 4 Golden Carrot

Harvest 48 Beetroots (⭐⭐)
 + 1 Diamond
 + 1 Iron Sword

Find an Ocean Ruin (⭐⭐⭐)
 + 32 Gold Ingot
 + 3 Splash Potion: Night Vision

Level up 10 times (⭐⭐)
 + 1 Enchanted Book: Depth Strider II
 + 1 Iron Axe

Kill 40 Chickens (⭐⭐)
 + 1 Enchanted Book: Bane Of Arthropods IV

Harvest 112 Sugar Cane (⭐⭐)
 + 1 Potion: Luck
 + 1 Music Disc Pigstep

Chop 32 Logs (⭐)
 + 4 Golden Carrot

Harvest 48 Wheat (⭐)
 + 1 Bow

Break 6 Amethyst Clusters (⭐⭐)
 + 1 Diamond Sword: Knockback I

Kill 80 Creepers (⭐⭐⭐⭐)
 + 1 Enchanted Book: Efficiency V

Level up 10 times (⭐⭐)
 + 40 Cooked Chicken
 + 1 Iron Leggings

Chop 96 Acacia Logs (⭐⭐)
 + 4 Splash Potion: Fire Resistance

Kill 50 Pigs (⭐⭐)
 + 1 Chainmail Boots: Projectile Protection III

Mine 12 Diamond Ore (⭐⭐⭐)
 + 1 Iron Sword: Mending

Swim 300m (⭐⭐)
 + 1 Iron Pickaxe: Efficiency IV

Kill 10 Endermen (⭐⭐⭐⭐)
 + 3 Enchanted Golden Apple

Kill 8 Wither Skeletons (⭐⭐⭐⭐⭐)
 + 1 Enchanted Book: Looting III
 + 24 Slime Ball

Mine 224 Coal Ore (⭐⭐)
 + 32 Arrow
 + 6 Potion: Instant Health

Enchant 9 Books (⭐⭐)
 + 1 Iron Shovel: Silk Touch

Chop 32 Oak Logs (⭐)
 + 1 Potion: Regeneration +
 + 1 Iron Leggings

Ride 1,6km on a Strider (⭐⭐⭐⭐⭐)
 + 28 Diamond

Fish an item (⭐)
 + 1 Splash Potion: Speed II
 + 1 Iron Sword
 + 1 Iron Hoe

Travel 8km with a Boat (⭐⭐⭐⭐)
 + 16 Slime Ball
 + 36 Golden Carrot

Enchant a Diamond Hoe (⭐)
 + 1 Crossbow
 + 1 Iron Helmet

Fish 4 Cod (⭐)
 + 8 Flint
 + 1 Iron Pickaxe

Ride 200m on a Pig (⭐⭐⭐)
 + 1 Enchanted Book: Sweeping III
 + 1 Enchanted Book: Thorns II

Mine 48 Gold Ore (⭐⭐)
 + 1 Diamond
 + 6 Chorus Fruit
 + 1 Iron Leggings

Mine 2 Emerald Ore (⭐⭐⭐)
 + 64 Arrow
 + 6 Splash Potion: Speed +

Mine 32 Gold Ore (⭐⭐)
 + 1 Bow: Flame

Mine 48 Copper Ore (⭐)
 + 16 Coal
 + 3 Potion: Night Vision
 + 1 Iron Pickaxe

Mine 176 Coal Ore (⭐⭐)
 + 1 Sea Lantern

Kill 12 Wither Skeletons (⭐⭐⭐⭐⭐)
 + 1 Netherite Leggings: Thorns III
 + 1 Enchanted Book: Multishot

Catch 20 fish (⭐⭐)
 + 1 Enchanted Book: Punch I

Trade with a Armorer 12 times (⭐⭐⭐⭐)
 + 1 Iron Chestplate: Fire Protection III
 + 6 Potion: Strength II

Kill 20 Cows (⭐⭐)
 + 40 Coal

Enchant 3 Books (⭐)
 + 2 Potion: Water Breathing +

Chop 160 Logs (⭐⭐)
 + 12 Iron Ingot
 + 1 Crossbow
 + 1 Iron Hoe

Chop 64 Logs (⭐)
 + 8 Cooked Porkchop

Kill 60 Creepers (⭐⭐⭐)
 + 48 Quartz

Mine 144 Coal Ore (⭐⭐)
 + 36 Cooked Mutton

Run 12,5km (⭐⭐⭐⭐⭐)
 + 12 Ghast Tear
 + 1 Iron Helmet: Thorns II
 + 6 Chorus Fruit

Mine 80 Iron Ore (⭐⭐)
 + 3 Emerald

Mine 192 Coal Ore (⭐⭐)
 + 1 Iron Sword: Smite I
 + 1 Iron Axe

Harvest 16 Cacti (⭐)
 + 2 Splash Potion: Jump Boost

Ride 300m on a Pig (⭐⭐⭐)
 + 128 Arrow

Mine 56 Gold Ore (⭐⭐)
 + 1 Enchanted Book: Luck Of The Sea II
 + 1 Jukebox

Enchant a Fishing Rod with Luck Of The Sea II+ (⭐⭐)
 + 1 Crossbow: Unbreaking II

Mine 80 Gold Ore (⭐⭐)
 + 48 Cooked Chicken

Fish 1 Pufferfish (⭐)
 + 8 Coal

Mine 64 Coal Ore (⭐)
 + 16 Cooked Mutton

Kill 32 Phantoms (⭐⭐⭐⭐)
 + 1 Diamond Axe: Fortune II

Harvest 32 Potatoes (⭐)
 + 1 Iron Chestplate

Mine 48 Lapis Ore (⭐⭐⭐⭐)
 + 1 Enchanted Book: Respiration III
 + 48 Cooked Chicken
 + 6 Splash Potion: Jump Boost

Trade with a Fletcher 14 times (⭐⭐)
 + 1 Iron Leggings: Projectile Protection II

Harvest 112 Wheat (⭐)
 + 20 Iron Ingot

Mine 208 Coal Ore (⭐⭐)
 + 1 Iron Sword: Sweeping II

Kill 12 Squids (⭐⭐)
 + 1 Iron Pickaxe: Efficiency III

Find a Village (⭐⭐⭐)
 + 4 Diamond

Chop 96 Acacia Logs (⭐⭐)
 + 12 Golden Carrot

Fish an item (⭐)
 + 2 Potion: Slow Falling +

Harvest 16 Beetroots (⭐)
 + 1 Potion: Regeneration II

Harvest 64 Potatoes (⭐)
 + 32 Coal
 + 1 Iron Sword

Chop 128 Logs (⭐)
 + 1 Bow
 + 1 Chainmail Chestplate
 + 1 Iron Sword

Trade with a Villager 4 times (⭐⭐)
 + 12 Gold Ingot

Chop 128 Logs (⭐)
 + 3 Splash Potion: Instant Health

Harvest 80 Sweet Berries (⭐⭐)
 + 1 Diamond

Harvest 80 Sugar Cane (⭐⭐)
