Material counts for Quest Type:
TotalQuests: 2000

Quest Type: FIND_STRUCTURE
- OCEAN_RUIN           count: 6             4,76 %    (5,94 % expected)
Break 2 Amethyst Clusters (⭐⭐)
 + 32 Copper Ingot

Kill 26 Endermen (⭐⭐⭐⭐⭐)
 + 41 Emerald
 + 1 Enchanted Book: Protection IV

Trade with a Mason 4 times (⭐⭐)
 + 20 Book

Chop 64 Spruce Logs (⭐⭐)
 + 1 Amethyst Shard

Harvest 80 Kelp (⭐)
 + 1 Iron Leggings
 + 1 Iron Sword

Kill 50 Sheep (⭐⭐)
 + 1 Diamond Pickaxe

Find a Ruined Portal (⭐⭐⭐)
 + 8 Emerald

Mine 96 Iron Ore (⭐⭐)
 + 1 Chainmail Helmet: Fire Protection III

Chop 128 Logs (⭐)
 + 1 Amethyst Shard

Mine 208 Coal Ore (⭐⭐)
 + 1 Iron Helmet: Protection I

Travel 1km with a Boat (⭐⭐)
 + 2 Diamond

Trade with a Villager 10 times (⭐⭐)
 + 1 Enchanted Book: Luck Of The Sea III

Mine 48 Copper Ore (⭐)
 + 1 Iron Sword: Sharpness III

Mine 16 Lapis Ore (⭐⭐⭐)
 + 4 Diamond

Kill 28 Blazes (⭐⭐⭐⭐⭐)
 + 1 Netherite Boots: Unbreaking III
 + 48 Gold Ingot

Kill 110 Skeletons (⭐⭐⭐⭐)
 + 1 Netherite Sword
 + 96 Coal
 + 1 Crossbow

Chop 224 Logs (⭐⭐)
 + 4 Slime Ball

Find a Desert Pyramid (⭐⭐⭐)
 + 36 Golden Carrot

Kill 12 Piglins (⭐⭐⭐⭐)
 + 160 Arrow

Enchant 3 Books (⭐)
 + 8 Gold Ingot

Mine 80 Nether Quartz Ore (⭐⭐⭐)
 + 1 Enchanted Book: Blast Protection IV

Trade with a Villager 4 times (⭐⭐)
 + 3 Name Tag

Mine 224 Coal Ore (⭐⭐)
 + 3 Potion: Invisibility +

Enchant 7 Books (⭐⭐)
 + 1 Diamond
 + 1 Diamond Shovel

Mine 32 Redstone Ore (⭐⭐)
 + 20 Gold Ingot
 + 6 Honey Bottle

Level up 25 times (⭐⭐⭐)
 + 1 Enchanted Book: Feather Falling III

Enchant a Diamond Sword with Sharpness III+ (⭐⭐⭐)
 + 1 Enchanted Book: Protection IV

Mine 48 Coal Ore (⭐)
 + 16 Coal
 + 1 Iron Shovel

Chop 64 Oak Logs (⭐⭐)
 + 1 Iron Pickaxe: Efficiency I

Harvest 16 Sea Pickles (⭐⭐⭐)
 + 1 Bow: Power II
 + 6 Splash Potion: Slow Falling

Ride 400m on a Pig (⭐⭐⭐⭐)
 + 1 Enchanted Book: Thorns III
 + 1 Iron Hoe: Unbreaking I

Eat some Cake (⭐⭐⭐⭐)
 + 1 Diamond Sword: Looting II

Travel 8km with a Boat (⭐⭐⭐⭐)
 + 1 Enchanted Book: Sharpness III
 + 48 Cooked Mutton
 + 48 Cooked Chicken
 + 6 Potion: Instant Health

Harvest 24 Pumpkins (⭐⭐)
 + 1 Chainmail Helmet: Respiration I

Harvest 96 Carrots (⭐⭐)
 + 1 Enchanted Book: Feather Falling IV

Ride 9km on a Horse (⭐⭐⭐⭐⭐)
 + 1 Heart Of The Sea
 + 48 Gold Ingot
 + 1 Enchanted Book: Unbreaking III
 + 1 Crossbow

Harvest 32 Cacti (⭐⭐)
 + 1 Iron Shovel: Efficiency I

Chop 96 Spruce Logs (⭐⭐)
 + 2 Splash Potion: Regeneration II

Catch 16 fish (⭐⭐)
 + 24 Iron Ingot

Mine 160 Coal Ore (⭐⭐)
 + 1 Chainmail Helmet: Thorns II

Kill 10 Chickens (⭐)
 + 8 Copper Ingot

Enchant 9 Books (⭐⭐)
 + 24 Golden Carrot

Enchant 7 Books (⭐⭐)
 + 32 Arrow

Mine 40 Gold Ore (⭐⭐)
 + 1 Diamond

Run 20km (⭐⭐⭐⭐⭐)
 + 1 Diamond Chestplate: Unbreaking II
 + 1 Enchanted Book: Blast Protection IV
 + 1 Enchanted Book: Silk Touch

Travel 1km with a Boat (⭐⭐)
 + 5 Splash Potion: Strength II

Enchant a Shield (⭐)
 + 8 Cooked Mutton

Harvest 112 Sweet Berries (⭐⭐)
 + 40 Copper Ingot

Kill 60 Zombies (⭐⭐⭐)
 + 1 Enchanted Book: Sharpness IV

Harvest 48 Potatoes (⭐)
 + 4 Book

Mine 208 Coal Ore (⭐⭐)
 + 1 Bow: Punch I

Find a Desert Pyramid (⭐⭐⭐)
 + 1 Enchanted Book: Blast Protection IV

Enchant a Bow with Power II+ (⭐⭐)
 + 1 Iron Shovel: Unbreaking II

Mine 72 Gold Ore (⭐⭐)
 + 1 Iron Hoe: Unbreaking II

Mine 128 Iron Ore (⭐⭐)
 + 1 Enchanted Book: Bane Of Arthropods III

Mine 64 Gold Ore (⭐⭐)
 + 1 Enchanted Book: Respiration I
 + 6 Chorus Fruit

Trade with a Villager 6 times (⭐⭐)
 + 32 Arrow

Harvest 80 Kelp (⭐)
 + 1 Iron Helmet
 + 1 Iron Boots

Enchant 5 Books (⭐⭐)
 + 12 Gold Ingot

Fish 2 items (⭐)
 + 8 Quartz

Enchant a Fishing Rod (⭐)
 + 1 Chainmail Leggings

Mine 4 Diamond Ore (⭐⭐)
 + 60 Iron Ingot

Enchant a Diamond Sword with Unbreaking I+ (⭐⭐)
 + 1 Diamond

Trade with a Villager 14 times (⭐⭐⭐)
 + 96 Coal

Harvest 112 Sugar Cane (⭐⭐)
 + 1 Enchanted Book: Fire Protection III

Enchant a Diamond Sword with Smite I+ (⭐⭐)
 + 1 Amethyst Shard
 + 4 Book

Chop 160 Logs (⭐⭐)
 + 6 Honey Bottle
 + 1 Chainmail Chestplate

Mine 112 Iron Ore (⭐⭐)
 + 1 Iron Shovel: Silk Touch

Kill 20 Blazes (⭐⭐⭐⭐⭐)
 + 3 Netherite Ingot

Mine 224 Coal Ore (⭐⭐)
 + 1 Iron Shovel: Efficiency III

Mine 80 Nether Quartz Ore (⭐⭐⭐)
 + 1 Diamond Boots
 + 3 Name Tag

Mine 88 Gold Ore (⭐⭐⭐)
 + 1 Chainmail Boots: Thorns II

Chop 224 Logs (⭐⭐)
 + 4 Splash Potion: Instant Health II

Enchant a Diamond Axe with Efficiency II+ (⭐⭐)
 + 32 Iron Ingot
 + 6 Potion: Slow Falling

Trade with a Villager 8 times (⭐⭐)
 + 8 Slime Ball

Enchant a Crossbow with Piercing I+ (⭐⭐)
 + 4 Ender Pearl

Harvest 32 Beetroots (⭐)
 + 1 Emerald
 + 1 Bow

Mine 112 Nether Quartz Ore (⭐⭐⭐⭐)
 + 20 Emerald

Mine 8 Ancient Debris (⭐⭐⭐⭐⭐)
 + 1 Netherite Sword: Knockback II

Mine 64 Redstone Ore (⭐⭐⭐)
 + 1 Enchanted Book: Sharpness IV

Mine 80 Coal Ore (⭐)
 + 1 Emerald

Find a Village (⭐⭐⭐)
 + 64 Arrow

Mine 16 Diamond Ore (⭐⭐⭐⭐)
 + 1 Diamond Helmet: Blast Protection II

Kill 24 Endermen (⭐⭐⭐⭐⭐)
 + 1 Netherite Pickaxe
 + 1 Diamond Sword: Looting I

Mine 48 Coal Ore (⭐)
 + 16 Coal

Harvest 48 Beetroots (⭐⭐)
 + 2 Splash Potion: Water Breathing

Level up 35 times (⭐⭐⭐)
 + 8 Amethyst Shard

Break 32 Glowstones (⭐⭐⭐)
 + 4 Blaze Rod

Kill 50 Zombies (⭐⭐⭐)
 + 1 Chainmail Chestplate: Unbreaking II

Harvest 96 Potatoes (⭐⭐)
 + 1 Enchanted Book: Piercing I
 + 6 Chorus Fruit

Break 2 Amethyst Clusters (⭐⭐)
 + 1 Enchanted Book: Thorns II

Harvest 24 Nether Warts (⭐⭐⭐)
 + 24 Book

Enchant a Diamond Pickaxe with Silk Touch (⭐⭐⭐)
 + 1 Diamond Boots: Blast Protection II

Harvest 32 Beetroots (⭐)
 + 8 Iron Ingot
 + 1 Iron Pickaxe

Find a Ruined Portal (⭐⭐⭐)
 + 1 Iron Pickaxe: Efficiency IV

Mine 56 Gold Ore (⭐⭐)
 + 44 Cooked Beef

Chop 192 Logs (⭐⭐)
 + 4 Slime Ball

Ring a Bell (⭐⭐⭐⭐)
 + 24 Ender Pearl

Harvest 112 Wheat (⭐)
 + 8 Quartz
 + 1 Iron Pickaxe

Enchant 6 Books (⭐⭐)
 + 32 Copper Ingot

Find a Pillager Outpost (⭐⭐⭐⭐)
 + 1 Enchanted Book: Feather Falling IV
 + 6 Potion: Regeneration II
 + 1 Splash Potion: Luck

Mine 32 Copper Ore (⭐)
 + 6 Potion: Speed

Find a Desert Pyramid (⭐⭐⭐)
 + 16 Slime Ball
 + 1 Iron Chestplate

Trade with a Fisherman 12 times (⭐⭐⭐⭐)
 + 17 Emerald

Level up 25 times (⭐⭐⭐)
 + 92 Iron Ingot

Harvest 112 Potatoes (⭐⭐)
 + 1 Enchanted Book: Luck Of The Sea III

Find a Desert Pyramid (⭐⭐⭐)
 + 96 Iron Ingot

Mine 144 Coal Ore (⭐⭐)
 + 1 Enchanted Book: Sweeping II

Kill 90 Skeletons (⭐⭐⭐⭐)
 + 1 Iron Sword: Sharpness IV
 + 1 Enchanted Book: Luck Of The Sea III

Harvest 12 Pumpkins (⭐)
 + 2 Emerald

Ride 3km on a Horse (⭐⭐⭐⭐)
 + 1 Enchanted Book: Mending

Harvest 64 Wheat (⭐)
 + 1 Splash Potion: Slow Falling
 + 1 Iron Hoe

Mine 64 Iron Ore (⭐⭐)
 + 1 Iron Sword: Bane Of Arthropods I

Harvest 6 Chorus Flowers (⭐⭐⭐⭐)
 + 1 Iron Chestplate: Mending
 + 24 Firework Rocket

Chop 224 Logs (⭐⭐)
 + 12 Golden Carrot

Mine 96 Coal Ore (⭐)
 + 4 Book

Kill 60 Zombies (⭐⭐⭐)
 + 48 Cooked Porkchop

Chop 192 Logs (⭐⭐)
 + 1 Diamond
 + 1 Iron Leggings
 + 1 Iron Boots

Trade with a Villager 14 times (⭐⭐⭐)
 + 1 Enchanted Book: Flame

Harvest 80 Sweet Berries (⭐⭐)
 + 1 Enchanted Book: Sharpness II
 + 1 Bow

Trade with a Villager 6 times (⭐⭐)
 + 1 Iron Pickaxe: Fortune I

Mine 16 Copper Ore (⭐)
 + 1 Iron Helmet

Chop 32 Logs (⭐)
 + 1 Iron Boots

Enchant a Diamond Sword with Bane Of Arthropods III+ (⭐⭐⭐)
 + 1 Chainmail Boots: Fire Protection III

Mine 80 Iron Ore (⭐⭐)
 + 28 Copper Ingot

Mine 240 Coal Ore (⭐⭐)
 + 44 Iron Ingot

Kill 1 Witch (⭐⭐)
 + 1 Enchanted Book: Quick Charge II

Harvest 16 Wheat (⭐)
 + 4 Iron Ingot
 + 1 Iron Shovel

Harvest 40 Pumpkins (⭐⭐)
 + 8 Ender Pearl
 + 6 Chorus Fruit

Kill 40 Sheep (⭐⭐)
 + 2 Diamond

Harvest 80 Carrots (⭐⭐)
 + 1 Chainmail Boots: Feather Falling I

Find a Nether Fortress (⭐⭐⭐⭐)
 + 8 Diamond

Chop 96 Birch Logs (⭐⭐)
 + 1 Enchanted Book: Punch I

Mine 64 Coal Ore (⭐)
 + 4 Book

Mine 8 Ancient Debris (⭐⭐⭐⭐⭐)
 + 1 Enchanted Book: Bane Of Arthropods V
 + 1 Iron Chestplate: Unbreaking III

Kill 110 Drowned (⭐⭐⭐⭐)
 + 1 Crossbow: Mending
 + 1 Enchanted Book: Respiration III

Harvest 16 Cocoa Beans (⭐)
 + 3 Potion: Slow Falling +

Kill 50 Sheep (⭐⭐)
 + 1 Iron Pickaxe: Unbreaking II

Trade with a Fletcher 12 times (⭐⭐)
 + 3 Amethyst Shard

Harvest 16 Carrots (⭐)
 + 4 Iron Ingot

Find a Swamp Hut (⭐⭐⭐⭐⭐)
 + 37 Emerald

Chop 160 Logs (⭐⭐)
 + 16 Iron Ingot
 + 1 Iron Pickaxe

Trade with a Weaponsmith 12 times (⭐⭐⭐⭐)
 + 1 Netherite Ingot

Trade with a Villager 14 times (⭐⭐⭐)
 + 1 Diamond Sword: Unbreaking I

Eat some Cake (⭐⭐⭐⭐)
 + 1 Enchanted Book: Respiration III
 + 1 Enchanted Golden Apple

Chop 64 Birch Logs (⭐⭐)
 + 1 Sea Lantern

Kill 100 Zombies (⭐⭐⭐)
 + 15 Emerald

Ring a Bell (⭐⭐⭐⭐)
 + 9 Diamond

Kill 10 Chickens (⭐)
 + 1 Iron Leggings

Chop 32 Oak Logs (⭐)
 + 1 Enchanted Book: Lure III

Enchant 9 Books (⭐⭐)
 + 6 Potion: Strength +

Harvest 16 Kelp (⭐)
 + 8 Flint

Enchant 5 Books (⭐⭐)
 + 1 Chainmail Chestplate: Protection II

Find a Nether Fortress (⭐⭐⭐⭐)
 + 48 Gold Ingot

Enchant a Fishing Rod with Unbreaking II+ (⭐⭐)
 + 3 Emerald

Break 2 Amethyst Clusters (⭐⭐)
 + 2 Splash Potion: Water Breathing +
 + 1 Iron Leggings

Chop 64 Logs (⭐)
 + 1 Iron Boots
 + 4 Iron Ingot

Harvest 48 Potatoes (⭐)
 + 8 Flint
